sentiment_bucket,frequency_segment,leverage_segment,consistency_segment,mean_pnl,mean_win_rate,mean_trades,observations
Greed,Frequent,Low Leverage,Consistent Winners,3712.331572828897,0.37608597987234044,163.19011406844106,263
Greed,Infrequent,High Leverage,Inconsistent,7330.4310145125,0.2764290312820465,36.94166666666667,240
Fear,Frequent,Low Leverage,Consistent Winners,4936.277778497488,0.3678447812471633,208.42713567839195,199
Greed,Infrequent,High Leverage,Consistent Winners,1062.4548875153062,0.27705779567073324,24.387755102040817,196
Greed,Frequent,High Leverage,Consistent Winners,4853.29247997351,0.5834652930979084,88.03311258278146,151
Greed,Infrequent,Low Leverage,Consistent Winners,2322.690761328467,0.4052713292645935,63.43795620437956,137
Fear,Infrequent,Low Leverage,Inconsistent,3579.976429661765,0.2977479107033826,34.69117647058823,136
Fear,Frequent,High Leverage,Consistent Winners,16129.782879578948,0.4878326318177511,158.8345864661654,133
Greed,Infrequent,Low Leverage,Inconsistent,1685.6391643749998,0.3201760261700827,36.34166666666667,120
Fear,Infrequent,High Leverage,Inconsistent,4224.474387889908,0.3098962433147267,46.51376146788991,109
Neutral,Frequent,Low Leverage,Consistent Winners,1033.6760464742267,0.39620661474742147,215.4020618556701,97
Fear,Infrequent,Low Leverage,Consistent Winners,177.90592783333332,0.35553643702570004,27.5,84
Fear,Infrequent,High Leverage,Consistent Winners,746.2214667837837,0.31441228144059413,20.635135135135137,74
Neutral,Infrequent,High Leverage,Inconsistent,5742.158011581081,0.21464995613524718,67.54054054054055,74
Greed,Frequent,High Leverage,Inconsistent,3574.74936425,0.3674463949288947,111.56666666666666,60
Neutral,Frequent,High Leverage,Consistent Winners,10470.344600696428,0.4940604253614741,108.76785714285714,56
Neutral,Infrequent,High Leverage,Consistent Winners,892.4377102156863,0.37489705086651437,25.03921568627451,51
Neutral,Infrequent,Low Leverage,Inconsistent,1940.8785174565219,0.23880171934430716,34.30434782608695,46
Fear,Frequent,High Leverage,Inconsistent,-558.7260842272727,0.33979581046581087,140.6818181818182,44
Neutral,Infrequent,Low Leverage,Consistent Winners,1220.005274025641,0.4476683877180609,44.41025641025641,39
Neutral,Frequent,High Leverage,Inconsistent,-81.65268041666663,0.3407069065921267,86.41666666666667,12
Fear,Frequent,Low Leverage,Inconsistent,-2203.613841909091,0.14982763715158082,74.54545454545455,11
Greed,Frequent,Low Leverage,Inconsistent,64799.331168,0.3165098374679213,98.71428571428571,7
Neutral,Frequent,Low Leverage,Inconsistent,0.0,0.0,79.0,1
